"country" "continent" "name.as.map" "tot.pop" "how.many.cities" "coefvar.popul" "Zipf" "Benford.dist" "Benford.pop.vec" "Benford.pop.dist" "Benford.socgeo.dist" "RofClarkEvans" "ClarkEvans.pvalue" "MAD.dist" "MAD.pop.vec" "MAD.pop.dist" "MAD.socgeo.dist" "Benford.dist.nr" "Benford.pop.vec.nr" "Benford.pop.dist.nr" "Benford.socgeo.dist.nr" "ClarkEvans.lab"
"94" "Chad" "Africa" "Chad" 1705964 42 2.784 -0.872 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.03 0.705 0.0039 0.0129 0.0037 0.0037 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"95" "Ivory Coast" "Africa" "Ivory Coast" 7887631 66 3.904 -0.9 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.261 0 0.0052 0.0105 0.0024 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"96" "Egypt" "Africa" "Egypt" 29308745 153 3.802 -0.996 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.421 0 0.0029 0.0086 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"97" "Benin" "Africa" "Benin" 2943757 33 1.55 -0.777 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.08 0.385 0.0046 0.0143 0.0045 0.0045 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"98" "Ghana" "Africa" "Ghana" 7403163 75 2.936 -0.821 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.877 0.044 0.0033 0.0106 0.0026 0.0026 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"99" "Gambia" "Africa" "Gambia" 868541 302 7.04 -0.815 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.901 0.002 0.0028 0.0058 0.0017 0.0016 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"100" "Equatorial Guinea" "Africa" "Equatorial Guinea" 468980 24 2.439 -0.614 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.083 0.551 0.0053 0.0152 0.0057 0.0057 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"101" "Cameroon" "Africa" "Cameroon" 9301483 135 2.62 -0.601 "Marginally acceptable conformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.004 0.928 0.0021 0.0077 0.0027 0.0027 "3.Marginally acceptable conformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"102" "Eritrea" "Africa" "Eritrea" 858693 14 2.453 -0.587 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.192 0.184 0.0075 0.0184 0.0106 0.0106 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"103" "South Africa" "Africa" "South Africa" 30788888 226 2.877 -0.73 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.992 0.826 0.0032 0.0055 0.0015 0.0015 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"104" "Uganda" "Africa" "Uganda" 3888969 90 3.416 -0.826 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.042 0.448 0.0052 0.0087 0.0023 0.0023 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"105" "Morocco" "Africa" "Morocco" 14119956 74 2.305 -0.793 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.992 0.895 0.0036 0.011 0.003 0.003 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"106" "Kenya" "Africa" "Kenya" 6710395 138 5.219 -0.622 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.776 0 0.0027 0.0067 0.0018 0.0018 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"107" "Libya" "Africa" "Libya" 5221113 44 1.701 -0.667 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.658 0 0.0062 0.0105 0.0038 0.0038 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"108" "Congo Democratic Republic" "Africa" "Congo (Kinshasa)" 17978191 74 3.923 -0.723 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.04 0.515 0.0063 0.0102 0.003 0.003 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"109" "Mauritius" "Africa" "Mauritius" 1204144 115 2.119 -0.931 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 1.087 0.08 0.0052 0.0064 0.002 0.002 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"110" "Sierra Leone" "Africa" "Sierra Leone" 1928560 97 4.322 -0.922 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.089 0.11 0.0053 0.0086 0.0025 0.0025 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"111" "Central African Republic" "Africa" "Central African Republic" 1433728 37 2.31 -0.876 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.371 0 0.0053 0.0127 0.0034 0.0034 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"112" "Madagascar" "Africa" "Madagascar" 4275081 71 2.88 -1.167 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.15 0.026 0.0038 0.0109 0.0035 0.0035 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"113" "Togo" "Africa" "Togo" 1605392 21 2.033 -0.761 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.252 0.027 0.0058 0.0155 0.0058 0.0058 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"114" "Mozambique" "Africa" "Mozambique" 4952961 28 1.412 -0.811 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.003 0.976 0.0056 0.0161 0.0069 0.0069 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"115" "Guyana" "Africa" "Guyana" 379023 17 2.542 -0.518 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.05 0.729 0.0081 0.0168 0.0086 0.0085 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"116" "Namibia" "Africa" "Namibia" 797407 39 2.164 -0.838 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.149 0.08 0.0047 0.0133 0.0038 0.0038 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"117" "Mali" "Africa" "Mali" 2568168 37 3.142 -0.647 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.132 0.124 0.0039 0.0135 0.0035 0.0035 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"118" "Botswana" "Africa" "Botswana" 1290738 154 2.58 -0.64 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.687 0 0.0044 0.0066 0.0021 0.0021 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"119" "Tanzania" "Africa" "Tanzania" 12407617 308 4.129 -1.045 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.842 0 0.0055 0.0062 0.0016 0.0016 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"120" "Cape Verde" "Africa" "Cape Verde" 264596 15 1.856 -0.535 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 2.175 0 0.01 0.0187 0.0088 0.0088 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"121" "Guinea-Bissau" "Africa" "Guinea Bissau" 537354 15 2.848 -0.575 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.267 0.056 0.0091 0.0175 0.0093 0.0093 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"122" "Senegal" "Africa" "Senegal" 4472181 59 4.129 -0.724 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.154 0.028 0.0052 0.0104 0.0033 0.0033 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"123" "Malawi" "Africa" "Malawi" 1968917 33 2.562 -0.605 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.407 0 0.0043 0.0119 0.0049 0.0049 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"124" "Burkina Faso" "Africa" "Burkina Faso" 2594940 49 3.097 -0.777 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.157 0.037 0.0048 0.0109 0.0034 0.0034 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"125" "Zimbabwe" "Africa" "Zimbabwe" 4231859 76 3.584 -0.526 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.038 0.549 0.005 0.009 0.003 0.003 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"126" "Angola" "Africa" "Angola" 4535443 37 3.821 -0.659 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.879 0.167 0.0059 0.0132 0.0052 0.0052 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"127" "Guinea" "Africa" "Guinea" 2857773 37 4.163 -0.624 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.255 0.003 0.0047 0.0129 0.0057 0.0057 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"128" "Swaziland" "Africa" "Swaziland" 303755 27 2.256 -0.737 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.958 0.702 0.0076 0.0147 0.0053 0.0053 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"129" "Gabon" "Africa" "Gabon" 1033422 33 3.274 -0.675 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.145 0.116 0.0067 0.0133 0.0044 0.0044 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"130" "Comoros" "Africa" "Comoros" 376578 154 1.867 -0.701 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.1 0.04 0.0062 0.0056 0.0013 0.0013 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"131" "Congo" "Africa" "Congo (Brazzaville)" 2414626 19 2.584 -0.505 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.107 0.397 0.0078 0.0157 0.0075 0.0075 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"132" "Burundi" "Africa" "Burundi" 658486 17 2.026 -0.747 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.514 0 0.0094 0.0163 0.0085 0.0085 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"133" "Zambia" "Africa" "Zambia" 4032170 73 2.986 -0.664 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.05 0.426 0.0053 0.0104 0.0032 0.0032 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"134" "Brazil" "America South" "Brazil" 126674954 975 3.357 -1.027 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.777 0 0.0034 0.006 6e-04 6e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"135" "Paraguay" "America South" "Paraguay" 3428183 228 3.245 -0.6 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.807 0 0.0038 0.0059 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"136" "Peru" "America South" "Peru" 18373081 272 7.164 -0.827 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.699 0 0.0029 0.0063 0.0013 0.0013 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"137" "Bolivia" "America South" "Bolivia" 6027413 122 3.754 -0.668 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.718 0 0.0049 0.0077 0.0033 0.0033 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"138" "Colombia" "America South" "Colombia" 33959985 987 7.624 -0.737 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.769 0 0.0038 0.0027 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"139" "French Guiana" "America South" "French Guiana" 202059 15 1.234 -0.638 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.028 0.851 0.0104 0.0172 0.0082 0.0082 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"140" "Venezuela" "America South" "Venezuela" 17917132 104 1.772 -0.987 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.541 0 0.0039 0.0075 0.0018 0.0018 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"141" "Uruguay" "America South" "Uruguay" 2806164 135 5.287 -0.704 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.984 0.732 0.0046 0.0066 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"142" "Dominican Republic" "America South" "Dominican Republic" 5788697 202 5.762 -0.694 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.01 0.804 0.0054 0.0061 0.0015 0.0015 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"143" "Ecuador" "America South" "Ecuador" 7504604 113 3.394 -0.815 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.804 0 0.0045 0.0083 0.0025 0.0025 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"144" "Suriname" "America South" "Suriname" 299867 14 2.743 -0.599 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.531 0.003 0.0094 0.0173 0.0089 0.0089 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"145" "Argentina" "America South" "Argentina" 26124861 82 4.034 -0.835 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.949 0.385 0.0039 0.0098 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"146" "Chile" "America South" "Chile" 12383292 107 4.095 -0.8 "Acceptable conformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.933 0.201 0.0018 0.0084 0.0022 0.0022 "2.Acceptable conformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"147" "Mexico" "America North" "Mexico" 70386099 939 4.387 -0.864 "Marginally acceptable conformity" "Nonconformity" "Close conformity" "Close conformity" 0.729 0 0.0019 0.0058 9e-04 9e-04 "3.Marginally acceptable conformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"148" "Jamaica" "America North" "Jamaica" 1507340 103 4.11 -0.855 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.147 0.006 0.0035 0.0082 0.0024 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"149" "Cuba" "America North" "Cuba" 8939306 129 2.895 -0.812 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.177 0 0.0032 0.0076 0.0017 0.0017 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"150" "Haiti" "America North" "Haiti" 3298443 116 4.605 -0.673 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.209 0 0.0046 0.0068 0.0024 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"151" "El Salvador" "America North" "El Salvador" 2948777 106 2.404 -0.685 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.028 0.577 0.0034 0.0082 0.0028 0.0028 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"152" "Guatemala" "America North" "Guatemala" 6927364 331 3.308 -0.748 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.818 0 0.0035 0.0043 0.0013 0.0013 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"153" "Honduras" "America North" "Honduras" 3612575 541 6.677 -1.027 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.762 0 0.0045 0.0071 0.0011 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"154" "Nicaragua" "America North" "Nicaragua" 3307940 147 3.77 -0.661 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.965 0.421 0.0045 0.0067 0.0016 0.0016 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"155" "Panama" "America North" "Panama" 2146434 254 4.129 -0.759 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.766 0 0.0042 0.0079 0.002 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"156" "USA" "America North" "United States" 126015718 997 2.616 -1.411 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.543 0 0.0045 0.0082 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"157" "Puerto Rico" "America North" "Puerto Rico" 1962988 80 2.32 -0.742 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.277 0 0.0037 0.0095 0.0027 0.0027 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"158" "Costa Rica" "America North" "Costa Rica" 2126709 141 2.005 -0.664 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.827 0 0.0026 0.0066 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"159" "Trinidad and Tobago" "America North" "Trinidad and Tobago" 435307 22 1.065 -0.722 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.668 0.004 0.0064 0.0155 0.0065 0.0065 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"160" "Dominica" "America North" "Dominica" 47517 19 1.4 -1.073 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.174 0.231 0.0079 0.0158 0.0074 0.0074 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"161" "Saint Kitts and Nevis" "America North" "Saint Kitts and Nevis" 24022 16 2.031 -0.878 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.713 0 0.0104 0.0184 0.0139 0.0123 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"162" "Canada" "America North" "Canada" 25870416 917 7.463 -0.752 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.418 0 0.0037 0.0035 0.0011 0.0011 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"163" "Australia" "Australia" "Australia" 18839903 213 4.932 -0.706 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.629 0 0.003 0.0064 0.0015 0.0015 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"164" "Samoa" "Australia" "Samoa" 164635 198 3.533 -0.859 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.769 0 0.0025 0.0056 0.0012 0.0012 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"165" "American Samoa" "Australia" "American Samoa" 58021 35 1.298 -0.936 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.371 0.002 0.007 0.0136 0.0034 0.0034 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"166" "Guam" "Australia" "Guam" 86192 27 0.843 -1.024 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.23 0.025 0.0063 0.0139 0.0047 0.0047 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"167" "New Zealand" "Australia" "New Zealand" 3637951 276 3.664 -0.593 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.918 0.011 0.0028 0.0053 0.0018 0.0018 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"168" "Papua New Guinea" "Australia" "Papua New Guinea" 807004 41 2.315 -0.62 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.324 0 0.0046 0.0122 0.0037 0.0037 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"169" "New Caledonia" "Australia" "New Caledonia" 237939 32 2.266 -0.76 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.255 0.017 0.0046 0.0126 0.0048 0.0048 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
